Date,Open,High,Low,Close,Adj Close,Volume
14/3/2008,167,167.800003,155,156.860001,125.241753,27102300
17/3/2008,142.029999,154.119995,140.270004,151.020004,120.578896,38648800
18/3/2008,164.960007,175.880005,159.759995,175.589996,140.196335,43276100
19/3/2008,177.940002,178.460007,165.399994,166.490005,132.930603,24176100
20/3/2008,166.300003,180.360001,166.210007,179.630005,143.421967,20801800
24/3/2008,179,184.520004,176.149994,178.880005,142.823196,15643700
25/3/2008,177.509995,182.649994,177.139999,179.630005,143.421967,11666800
26/3/2008,178.490005,179.050003,174.330002,175.479996,140.108505,11610600
27/3/2008,176.610001,177.240005,167.380005,168.139999,134.248001,15195800
28/3/2008,169.570007,170.5,163.389999,164.449997,131.301804,11978700
31/3/2008,164.169998,168.490005,162.850006,165.389999,132.052353,8977400
01/4/2008,171.490005,176.990005,170.210007,176.860001,141.210358,14694100
02/4/2008,177,181.619995,176.100006,176.869995,141.218323,12058300
03/4/2008,174.789993,179.149994,172.880005,176.529999,140.946823,10755800
04/4/2008,176.550003,179.330002,174,175.399994,140.044586,8496700
07/4/2008,178.559998,181.75,176.929993,178.729996,142.703369,10276200
08/4/2008,177.300003,181.5,176.759995,178.899994,142.839142,8629400
09/4/2008,178.25,178.899994,173.149994,174.139999,139.038574,11425400
10/4/2008,173.899994,173.899994,168.869995,170.550003,136.172165,14744400
11/4/2008,168,171.869995,166.869995,167.300003,133.577316,11355300
14/4/2008,166.449997,167.550003,163.350006,163.589996,130.615112,9857900
15/4/2008,165.059998,165.949997,161.679993,164.199997,131.102173,9134700
16/4/2008,166.149994,169.169998,165.910004,169.050003,134.974594,9340800
17/4/2008,167.740005,173.5,167.100006,172.100006,137.409775,8730300
18/4/2008,176.910004,183.029999,176.910004,179.929993,143.661469,16882100
21/4/2008,179.570007,181.75,178.289993,180.399994,144.036728,7820700
22/4/2008,179.779999,181.369995,178.5,179.759995,143.525711,6127000
23/4/2008,180.839996,183.199997,178,179.350006,143.198425,7435900
24/4/2008,180.339996,189.389999,179.360001,188.789993,150.73555,13182700
25/4/2008,190.259995,192.490005,188.369995,192,153.583206,12187400
28/4/2008,192.490005,192.5,189.889999,190.240005,152.175476,6252600
29/4/2008,190.25,192.679993,188.25,192.679993,154.127228,7127200
30/4/2008,193.380005,194.929993,189.820007,191.369995,153.0793,10352600
01/5/2008,191.770004,199.190002,190.850006,199.050003,159.222641,9483200
02/5/2008,203.389999,203.389999,198,200.270004,160.198547,9437100
05/5/2008,198.610001,201.119995,196.149994,197.119995,157.678833,6389900
06/5/2008,194.600006,199.25,193.110001,197.610001,158.070755,7508600
07/5/2008,197.600006,198.440002,189.539993,189.759995,151.791443,7075600
08/5/2008,190.75,191.389999,185.259995,187.720001,150.159698,9867500
09/5/2008,186.020004,189.979996,185.690002,188.089996,150.455566,6467800
12/5/2008,189.449997,192.699997,187.339996,192.080002,153.647247,5655000
13/5/2008,191.179993,193,189.020004,190.330002,152.247421,5776700
14/5/2008,190.600006,192.490005,189.339996,190.130005,152.087418,5031700
15/5/2008,189.779999,189.800003,185.320007,188.619995,150.879501,8015600
16/5/2008,189.550003,189.610001,186,187.139999,149.69574,6144400
19/5/2008,185.669998,189.320007,183.470001,184.399994,147.503876,7009200
20/5/2008,183.330002,184.899994,181.25,182.429993,145.928085,6889900
21/5/2008,182.550003,183.660004,178.009995,178.600006,142.864471,9068500
22/5/2008,176.199997,179.919998,175,177.199997,141.744537,8684100
23/5/2008,176.009995,176.5,171.229996,172.639999,138.096954,8145500
27/5/2008,171.759995,174.699997,170.800003,173.919998,139.120834,8420000
28/5/2008,174.759995,175.929993,172.210007,174.830002,139.848755,7238500
29/5/2008,174.490005,179.5,174,176.240005,140.976654,7755200
30/5/2008,177.800003,178.860001,175.850006,176.410004,141.112686,5697400
02/6/2008,177,177.699997,170.809998,172.339996,137.856979,9847400
03/6/2008,173.350006,173.660004,167.600006,170.580002,136.449066,13187400
